treatment,replicate,environment,sites,site_usage,norm_site_usage
cycle-50-full-restricted,cycle-50-full-restricted__rep_1,nand-not+,h-alloc|set-flow|shift-r|set-flow|nop-A|mov-head|nop-C|pop|nop-C|pop|h-search|nop-A|swap|swap|swap-stk|IO|shift-l|add|h-divide|nop-B|h-alloc|nand|shift-l|dec|nop-C|add|pop|h-copy|shift-l|shift-r|swap|inc|nop-A|pop|nop-C|set-flow|IO|swap|h-search|pop|h-copy|shift-r|swap-stk|set-flow|h-divide|if-less|nop-B|nand|if-label|nop-B|swap|swap-stk|nop-C|if-n-equ|IO|inc|h-search|if-n-equ|if-less|if-less|set-flow|shift-r|h-divide|shift-r|swap|nop-B|IO-Sense|h-divide|nand|h-search|pop|IO-Sense|jmp-head|add|nop-B|h-search|h-copy|h-copy|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|mov-head|nop-A|h-alloc|set-flow|shift-r|set-flow|nop-A,1|1|1|1|0|1|0|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|1|0|0|1|0|0|1|1|1|0|1|1|1|0|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|0|1|15|15|15|15|15|15|15|0|1|14|0|0|0|0|0|0,0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.0|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.0|0.00555555555556|0.0|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.0833333333333|0.0833333333333|0.0833333333333|0.0833333333333|0.0833333333333|0.0833333333333|0.0833333333333|0.0|0.00555555555556|0.0777777777778|0.0|0.0|0.0|0.0|0.0|0.0
cycle-50-full-restricted,cycle-50-full-restricted__rep_1,nand+not-,h-alloc|set-flow|shift-r|set-flow|nop-A|mov-head|nop-C|pop|nop-C|pop|h-search|nop-A|swap|swap|swap-stk|IO|shift-l|add|h-divide|nop-B|h-alloc|nand|shift-l|dec|nop-C|add|pop|h-copy|shift-l|shift-r|swap|inc|nop-A|pop|nop-C|set-flow|IO|swap|h-search|pop|h-copy|shift-r|swap-stk|set-flow|h-divide|if-less|nop-B|nand|if-label|nop-B|swap|swap-stk|nop-C|if-n-equ|IO|inc|h-search|if-n-equ|if-less|if-less|set-flow|shift-r|h-divide|shift-r|swap|nop-B|IO-Sense|h-divide|nand|h-search|pop|IO-Sense|jmp-head|add|nop-B|h-search|h-copy|h-copy|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|mov-head|nop-A|h-alloc|set-flow|shift-r|set-flow|nop-A,1|1|1|1|0|1|0|1|0|1|1|0|1|1|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|1|1|0|1|0|1|1|1|1|1|1|1|1|1|1|1|0|0|1|0|0|1|1|1|0|1|1|1|0|1|0|1|1|1|1|0|1|1|1|1|1|1|1|1|0|1|15|15|15|15|15|15|15|0|1|14|0|0|0|0|0|0,0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.0|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.0|0.00555555555556|0.0|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.00555555555556|0.0|0.00555555555556|0.0833333333333|0.0833333333333|0.0833333333333|0.0833333333333|0.0833333333333|0.0833333333333|0.0833333333333|0.0|0.00555555555556|0.0777777777778|0.0|0.0|0.0|0.0|0.0|0.0
cycle-200-full-restricted,cycle-200-full-restricted__rep_1,nand-not+,h-alloc|if-less|get-head|swap|nop-C|jmp-head|nop-C|add|get-head|sub|swap|h-alloc|IO|h-copy|nop-A|nop-A|shift-r|nop-A|shift-l|h-copy|add|pop|h-search|h-copy|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|nop-A,1|1|0|1|0|1|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|5|5|5|5|5|9|0|1|4|4|4|0,0.0161290322581|0.0161290322581|0.0|0.0161290322581|0.0|0.0161290322581|0.0|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0806451612903|0.0806451612903|0.0806451612903|0.0806451612903|0.0806451612903|0.0806451612903|0.0|0.0161290322581|0.0645161290323|0.0645161290323|0.0645161290323|0.0
cycle-200-full-restricted,cycle-200-full-restricted__rep_1,nand+not-,h-alloc|if-less|get-head|swap|nop-C|jmp-head|nop-C|add|get-head|sub|swap|h-alloc|IO|h-copy|nop-A|nop-A|shift-r|nop-A|shift-l|h-copy|add|pop|h-search|h-copy|h-copy|h-copy|h-copy|h-copy|if-label|nop-C|h-divide|h-copy|h-copy|mov-head|nop-A,1|1|0|1|0|1|0|1|1|1|1|1|1|1|1|1|1|0|1|1|1|1|1|5|5|6|5|5|5|0|1|4|4|4|0,0.0161290322581|0.0161290322581|0.0|0.0161290322581|0.0|0.0161290322581|0.0|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0161290322581|0.0806451612903|0.0806451612903|0.0806451612903|0.0806451612903|0.0806451612903|0.0806451612903|0.0|0.0161290322581|0.0645161290323|0.0645161290323|0.0645161290323|0.0
